Facility_Type,Facility_Number,Facility_Name,Licensee,Facility_Administrator,Facility_Telephone Number,Facility_Address,Facility_City,Facility_State,Facility_Zip,County_Name,Regional_Office,Facility_Capacity,Facility_Status,License_First_Date,Closed_Date
RESIDENTIAL CARE ELDERLY,366412127,AMAPOLAS HOME CARE,"JOSE, DANTE C.","DANTE, JOSE C.",(909) 799-5920,25834 AMAPOLAS STREET,LOMA LINDA,CA,92354,SAN BERNARDINO,18,6,CLOSED,7/6/2006,5/18/2017
RESIDENTIAL CARE ELDERLY,75601202,AMARYLLIS ASSISTED LIVING,AMARYLLIS ASSISTED LIVING,"MARSALA, TERRI L.",(925) 933-4144,2491 MALLARD DRIVE,WALNUT CREEK,CA,94597,CONTRA COSTA,15,9,LICENSED,8/17/2006,
RESIDENTIAL CARE ELDERLY,347005477,AMAZING CARE AT BELCREST,"SENIOR CARE LINK, INC.","STEVENSON, MARRI",(916) 481-2920,4405 BELCREST WAY,SACRAMENTO,CA,95821,SACRAMENTO,27,6,CLOSED,4/10/2015,3/26/2019
RESIDENTIAL CARE ELDERLY,331800107,AMAZING GRACE CARE SERVICES LLC,"AMAZING GRACE CARE SERVICES, LLC","MOJICA, FLORENCE A",(818) 406-3077,43 SITARA STREET,BEAUMONT,CA,92223,RIVERSIDE,18,6,LICENSED,5/16/2017,
RESIDENTIAL CARE ELDERLY,342700547,AMAZING GRACE ELDER CARE LLC,AMAZING GRACE ELDER CARE LLC,"STERLING, GRACE KELLYN",(916) 402-8045,6015 TUPELO DRIVE,CITRUS HEIGHTS,CA,95621,SACRAMENTO,27,6,LICENSED,5/10/2019,
RESIDENTIAL CARE ELDERLY,331880659,AMAZING GRACE HOME CARE,AMAZING GRACE HOME CARE LLC,"TRIAS, MARY GRACE",(951) 660-8564,31485 MANDY CT,LAKE ELSINORE,CA,92530,RIVERSIDE,18,6,LICENSED,4/19/2019,
RESIDENTIAL CARE ELDERLY,197609605,AMAZING GRACE HOME CARE,LAZARO & PEREZ LLC,"PEREZ, ALDRIN",(213) 235-6009,421 CORONA COURT,LANCASTER,CA,93535,LOS ANGELES,31,6,LICENSED,11/14/2018,
RESIDENTIAL CARE ELDERLY,366425319,AMAZING GRACE HOMECARE,"AMAZING GRACE HOMECARE, LLC","BARBER, JEANIE",(909) 796-9266,1855 HARDT STREET,LOMA LINDA,CA,92354,SAN BERNARDINO,18,6,CLOSED,12/12/2011,12/27/2019
RESIDENTIAL CARE ELDERLY,347003998,AMAZING GRACE II,"NATIVIDAD, AFRICA & LOUIE","NATIVIDAD, AFRICA & LOUIE",(916) 283-6975,4140 EDISON AVE,SACRAMENTO,CA,95821,SACRAMENTO,27,6,CLOSED,9/12/2008,10/20/2017
RESIDENTIAL CARE ELDERLY,306004252,AMAZING GRACE & CARE,"SUNNY HILLS MANOR, INC.",LIVIU BOR,(714) 870-0309,900 N. CARHART AVENUE,FULLERTON,CA,92833,ORANGE,22,6,LICENSED,12/16/2010,
RESIDENTIAL CARE ELDERLY,415600801,AMAZING HOME,"CONDE, NECIA & SALVADOR, LEANDRA & CAGUIAT, IRESS","CONDE, NECIA&SALVADOR,LEAN",(650) 286-9698,17 JODY COURT,SAN MATEO,CA,94402,SAN MATEO,14,6,LICENSED,10/30/2009,
RESIDENTIAL CARE ELDERLY,75601201,AMAZING HOME CARE,"AAA HELATHCARE SERVICES, INC.","SOLOMON, MARILOU S.",(925) 261-0380,2245 SANTA MARIA DRIVE,PITTSBURG,CA,94565,CONTRA COSTA,15,6,LICENSED,9/12/2006,
RESIDENTIAL CARE ELDERLY,79200334,AMAZING HOME CARE II,"AAA HEALTHCARE SERVICES, INC.",MARILOU SOLOMON,(925) 671-7909,5017 SAINT GARRETT COURT,CONCORD,CA,94521,CONTRA COSTA,15,6,LICENSED,11/4/2014,
RESIDENTIAL CARE ELDERLY,435202280,AMAZING HOME OF MAGNIFICENT ELDERLY,BILLIE MADRUGA,BILLIE MADRUGA,(408) 248-9888,924 CAMINO DRIVE,SANTA CLARA,CA,95050,SANTA CLARA,26,6,CLOSED,2/10/2012,4/21/2016
RESIDENTIAL CARE ELDERLY,197608233,AMAZING PARADISE HOME CARE,"AMAZING PARADISE HOME CARE, INC.",YOLANDA BERNARDO,(310) 549-9888,312 WEST 229TH STREET,CARSON,CA,90745,LOS ANGELES,11,6,LICENSED,10/14/2011,
RESIDENTIAL CARE ELDERLY,197609860,"AMAZING SENIOR CARE, INC","AMAZING SENIOR CARE, INC.","ALADADYAN, YELENA",(818) 207-4220,16938 CITRONIA STREET,NORTHRIDGE,CA,91343,LOS ANGELES,31,6,LICENSED,10/31/2019,
RESIDENTIAL CARE ELDERLY,79200582,AMBASSADOR CARE HOME,AMBASSADORS OF HEALTH MANAGEMENT LLC,"IKHARO-UMARU, RAUFAT",(510) 812-2188,145 BEEDE WAY,ANTIOCH,CA,94509,CONTRA COSTA,15,6,LICENSED,12/7/2017,
RESIDENTIAL CARE ELDERLY,197603652,AMBASSADOR GARDEN,"CANBY RETRIEMENT, CORP.",SOFI DRUKER,(818) 705-3404,7324 CANBY AVENUE,RESEDA,CA,91335,LOS ANGELES,31,158,LICENSED,3/4/2002,
RESIDENTIAL CARE ELDERLY,216801763,AMBASSADOR SENIOR CARE,"MEDINA, ERMELITA P.","MEDINA, ERMELITA",(415) 424-9377,665 LAS COLINDAS RD,SAN RAFAEL,CA,94903,MARIN,21,5,CLOSED,9/30/2005,8/1/2017
RESIDENTIAL CARE ELDERLY,374602452,AMBASSADOR SENIOR RETREAT I,AMBASSADOR SENIOR RETREAT LLC,IRIS RAMIREZ,(858) 564-9490,8235 HYDRA LANE,SAN DIEGO,CA,92126,SAN DIEGO,8,6,LICENSED,3/7/2007,
RESIDENTIAL CARE ELDERLY,374603563,AMBASSADOR SENIOR RETREAT II,AMBASSADOR SENIOR RETREAT LLC,FAHIMA NAZREEN,(858) 800-7455,8554 CAPRICORN WAY,SAN DIEGO,CA,92126,SAN DIEGO,8,6,CLOSED,4/8/2014,5/4/2017
RESIDENTIAL CARE ELDERLY,374603135,AMBASSADOR SENIOR RETREAT III,"AMBASSADOR SENIOR RETREAT, LLC",IRIS RAMIREZ,(858) 935-9134,8243 HYDRA LANE,SAN DIEGO,CA,92126,SAN DIEGO,8,6,CLOSED,3/11/2011,8/5/2019
RESIDENTIAL CARE ELDERLY,374602745,AMBASSADOR SENIOR RETREAT IV,AMBASSADOR SENIOR RETREAT LLC,FARIA HUQ,(858) 935-9062,10163 EMBASSY WAY,SAN DIEGO,CA,92126,SAN DIEGO,8,6,CLOSED,8/27/2008,1/29/2018
RESIDENTIAL CARE ELDERLY,198200321,AMBER ELDER CARE,"BRITO, CESAR & ROSARIO",CESAR BRITO,(310) 539-9600,2248 WEST 233RD STREET,TORRANCE,CA,90501,LOS ANGELES,11,6,CLOSED,1/3/1995,2/23/2016
RESIDENTIAL CARE ELDERLY,45002441,AMBER GROVE PLACE,ANTHEM CHICO MANAGEMENT LLC,"GREER, ANTHONY",(530) 826-3226,3049 ESPLANADE,CHICO,CA,95973,BUTTE,25,70,LICENSED,11/7/2012,
RESIDENTIAL CARE ELDERLY,496800153,AMBER HOUSE,"WILSON-WOLTERING, MILDRED C.",TERESITA ASTUDILLO,(707) 837-0222,6151 GABRIELLE DRIVE,WINDSOR,CA,95492,SONOMA,21,6,LICENSED,6/12/1995,
RESIDENTIAL CARE ELDERLY,336425102,AMBER MANOR,"SUNNYVITS CARE, LLC",MARIA CRISTINA VICTORIO,(951) 242-7800,24830 HEIL DRIVE,MORENO VALLEY,CA,92553,RIVERSIDE,18,6,CLOSED,6/30/2011,5/18/2016
RESIDENTIAL CARE ELDERLY,455001769,AMBER OAKS,"DHANDA, KULVIR & ATTWAL, BALWINDER GEN PARTNERS","BULLINGTON, SHERRI",(530) 244-2522,1850 LAKE BLVD.,REDDING,CA,96003,SHASTA,25,22,CLOSED,3/1/2006,8/11/2017
RESIDENTIAL CARE ELDERLY,336423524,AMBER SENIOR CONNECTIONS,"AMBER SENIOR CONNECTIONS, INC.",RODOLFO F. VICTORIO,(909) 947-4280,5912 LARRY DEAN STREET,CORONA,CA,92880,RIVERSIDE,18,6,CLOSED,5/9/2008,6/20/2017
RESIDENTIAL CARE ELDERLY,336425612,AMBER VILLA,"AMBER VILLA, INC.",JANET GOTOC & M VICTORIO,(951) 243-8493,17312 RIVA RIDGE DRIVE,MORENO VALLEY,CA,92555,RIVERSIDE,18,6,CLOSED,11/26/2013,10/4/2019
RESIDENTIAL CARE ELDERLY,197607316,AMBER VILLE,AMBER VILLE INC.,SITI KHATIJAH ABDULLAH,(562) 428-8665,2314 E. POPPY ST.,LONG BEACH,CA,90805,LOS ANGELES,28,5,CLOSED,12/7/2007,4/30/2017
RESIDENTIAL CARE ELDERLY,336411959,AMBERHILL GUEST HOME,RCAV CORPORATION,MARIA C.G. VICTORIO,(909) 923-2110,12729 AMBERHILL AVE,CORONA,CA,92880,RIVERSIDE,18,6,LICENSED,2/22/2006,
RESIDENTIAL CARE ELDERLY,306004081,AMBERWOOD,"LLOYD, JANET",JANET LLOYD,(714) 854-7427,207 BAGNALL AVENUE,PLACENTIA,CA,92870,ORANGE,22,6,LICENSED,9/28/2009,
RESIDENTIAL CARE ELDERLY,79200387,"AMBROSIA CARE, LLC","AMBROSIA CARE, LLC",NASSER MIRZAI,(925) 833-2677,3262 MONTEVIDEO DRIVE,SAN RAMON,CA,94583,CONTRA COSTA,15,6,CLOSED,12/24/2014,10/23/2019
RESIDENTIAL CARE ELDERLY,435294232,AMBROSIA GARDENS,"IBRAHIM & ARELLANO, LLC","ARELLANO, ROSARIO",(408) 532-8765,1946 COTTLE AVENUE,SAN JOSE,CA,95125,SANTA CLARA,26,6,CLOSED,3/30/2007,8/24/2017
RESIDENTIAL CARE ELDERLY,435294217,AMBROSIA HOME,"ARELLANO AND IBRAHIM, LLC","ARELLANO, ROSARIO",(408) 374-3965,4094 WEST RINCON AVENUE,CAMPBELL,CA,95008,SANTA CLARA,26,6,LICENSED,11/28/2006,
RESIDENTIAL CARE ELDERLY,435202338,AMBROSIA SENIOR CARE,IBRAHIM AND ARELLANO LLC,HELEN IBRAHIM,(408) 460-6656,1176 WESTWOOD DRIVE,SAN JOSE,CA,95125,SANTA CLARA,26,6,LICENSED,11/5/2012,
RESIDENTIAL CARE ELDERLY,361800487,AMEGIL HOME FOR THE ELDERLY,"AMEGIL HOME FOR THE ELDERLY, INC","LUCAS, MARIA",(760) 221-3739,12410 BASSWOOD LANE,VICTORVILLE,CA,92395,SAN BERNARDINO,18,4,LICENSED,10/5/2018,
RESIDENTIAL CARE ELDERLY,197609625,AMENA LOVE BOARD AND CARE,GOLDEN AGE RESIDENTIAL MANSIONS INC,"MALLARI, AMPARO",(818) 679-6515,10751 VIKING AVE,NORTHRIDGE,CA,91326,LOS ANGELES,31,6,LICENSED,1/18/2019,
RESIDENTIAL CARE ELDERLY,197609990,AMENA LOVE BOARD AND CARE,CAL LYFE LLC,"ALTAMIRANO, JOYCE ANN",(747) 239-3247,10751 VIKING AVE,NORTHRIDGE,CA,91326,LOS ANGELES,31,6,PENDING,,
RESIDENTIAL CARE ELDERLY,565802468,AMERICA'S CARE MANOR,"AMERICA'S CARE MANOR, INC.","AYALA, CENIA",(818) 448-8641,5794 KATHERINE STREET,SIMI VALLEY,CA,93063,VENTURA,31,6,LICENSED,11/28/2018,
RESIDENTIAL CARE ELDERLY,486803815,AMERICAN ASSISTED LIVING,AMERICAN ASSISTED LIVING,"SANDHU, SUKHJIT",(510) 604-3825,405 KINGS WAY,SUISUN CITY,CA,94585,SOLANO,21,30,LICENSED,7/16/2019,
RESIDENTIAL CARE ELDERLY,286801897,AMERICAN CANYON VILLA,"AMERICAN CANYON VILLA, LLC","TAWZER, SUZETTE",(707) 648-7983,39 VIA MARCIANA,AMERICAN CANYON,CA,94503,NAPA,21,6,LICENSED,5/12/2006,
RESIDENTIAL CARE ELDERLY,197607359,AMERICAN CARE HOME,"AMERICAN CARE HOME, INC.",TAEHYUNG KIM,(562) 943-9048,12611 CULLMAN AVE.,LA MIRADA,CA,90638,LOS ANGELES,28,6,LICENSED,7/17/2008,
RESIDENTIAL CARE ELDERLY,75601057,"AMERICAN LEGACY CARE HOME, INC","AMERICAN LEGACY CARE HOME, INC.","CARBONEL, LELIA C.",(925) 439-5663,1778 CHAPARRAL DR,PITTSBURG,CA,94565,CONTRA COSTA,15,6,LICENSED,3/16/2005,
RESIDENTIAL CARE ELDERLY,306001581,AMERICAN LEGEND'S HOME,"QUINTO, ESTRELLA","QUINTO, ESTRELLA",(949) 922-0640,25746 SANTO DRIVE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,12/17/2002,
RESIDENTIAL CARE ELDERLY,342700656,"AMERICAN LIVING, LLC","AMERICAN LIVING, LLC","MUSCAN, LAVINIA",(916) 747-3388,7726 MALLON CT,SACRAMENTO,CA,95829,SACRAMENTO,27,5,LICENSED,11/20/2019,
RESIDENTIAL CARE ELDERLY,347005168,AMERICAN RIVER CARE HOME,"SEKIKOR, INC.","SEKI, HIDENORI",(916) 485-2172,3817 MARCONI AVE,SACRAMENTO,CA,95821,SACRAMENTO,27,6,LICENSED,8/21/2013,
RESIDENTIAL CARE ELDERLY,347005109,AMERICAN RIVER CARE HOME 2,"SEKICOR, INC. HIDENORI SEKI","SEKI, HIDENORI",(916) 482-1636,2801 TIOGA WAY,SACRAMENTO,CA,95821,SACRAMENTO,27,6,LICENSED,8/13/2013,
RESIDENTIAL CARE ELDERLY,347002403,AMERICAN RIVER HOME CARE,"BERCEA, ESTHER","BERCEA, ESTHER",(916) 501-8901,124 HILLSWOOD DRIVE,FOLSOM,CA,95630,SACRAMENTO,27,6,CLOSED,11/3/2003,6/8/2018
RESIDENTIAL CARE ELDERLY,347003237,AMERICAN RIVER HOME CARE II,"BERCEA, ESTHER","BERCEA, ESTHER",(916) 353-0297,255 CIMMARON CIRCLE,FOLSOM,CA,95630,SACRAMENTO,27,6,CLOSED,1/30/2006,7/2/2018
RESIDENTIAL CARE ELDERLY,347004088,AMERICAN RIVER HOME CARE III,"BERCEA, ESTHER S.","BERCEA, ESTHER S.",(916) 294-0889,249 CIMMARON CIRCLE,FOLSOM,CA,95630,SACRAMENTO,27,6,CLOSED,4/22/2009,6/8/2018
RESIDENTIAL CARE ELDERLY,342700334,AMERICAN RIVER RESIDENTIAL ASSISTED LIVING,AMERICAN RIVER RESIDENTIAL ASSISTED LIVING LLC,"SARINE, STEPHEN",(916) 508-0543,124 HILLSWOOD DRIVE,FOLSOM,CA,95630,SACRAMENTO,27,6,LICENSED,6/8/2018,
RESIDENTIAL CARE ELDERLY,197606436,AMERICANA RCFE,AMERICANA GROUP LLC,JAMES TRIPP,(661) 273-7349,40558 16TH ST. WEST,PALMDALE,CA,93551,LOS ANGELES,31,6,LICENSED,6/26/2006,
RESIDENTIAL CARE ELDERLY,198204387,AMERICARE ASSISTED LIVING,"AMERICARE ASSISTED LIVING, INC.",RAQUEL R MONZONES,(424) 456-7240,15422 ROSELLE AVENUE,LAWNDALE,CA,90260,LOS ANGELES,11,6,LICENSED,11/8/2004,
RESIDENTIAL CARE ELDERLY,198204855,AMERICARE ASSISTED LIVING,AMERICARE ASSISTED LIVING,LEIA D. DIMALANTA,(310) 995-7056,2420 ROCKEFELLER LANE,REDONDO BEACH,CA,90278,LOS ANGELES,11,6,LICENSED,3/13/2006,
RESIDENTIAL CARE ELDERLY,198602073,AMERICARE ASSISTED LIVING FACILITY,"AMERICARE ASSISTED LIVING FACILITY, INC",HERMINE ARAKELYAN,(323) 718-0357,1234 S MONTEBELLO BLVD,MONTEBELLO,CA,90640,LOS ANGELES,28,12,CLOSED,11/4/2015,9/11/2017
RESIDENTIAL CARE ELDERLY,197607455,AMERICARE ASSISTED LIVING OF PALOS VERDES ESTATES,"AMERICARE ASSISTED LIVING, INC.",EDNA DIMALANTA,(310) 422-5364,1828 VIA VISALIA,PALOS VERDES ESTATES,CA,90274,LOS ANGELES,11,6,CLOSED,4/25/2008,5/1/2015
RESIDENTIAL CARE ELDERLY,197607689,AMERICARE ASSISTED LIVING OF ROLLING HILLS,"AMERICARE ASSISTED LIVING, INC.",EDNA DIMALANTA,(310) 422-5634,4826 ROCKBLUFF DR.,ROLLING HILLS ESTATE,CA,90274,LOS ANGELES,11,6,LICENSED,4/25/2009,
RESIDENTIAL CARE ELDERLY,198205318,AMERICARE ASSISTED LIVING OF WALTERIA,"AMERICARE ASSISTED LIVING, INC.",MARLOWE ANTHONY JOAQUIN,(310) 422-5364,2638 PACIFIC COAST HIGHWAY,TORRANCE,CA,90505,LOS ANGELES,11,6,LICENSED,3/31/2007,
RESIDENTIAL CARE ELDERLY,198204999,AMERICARE ASSISTED LIVING OF WESTCHESTER,"AMERICARE ASSISTED LIVING, INC.",PATRICK BAUTISTA,(310) 641-5808,8501 RAMSGATE AVENUE,LOS ANGELES,CA,90045,LOS ANGELES,11,6,LICENSED,6/1/2006,
RESIDENTIAL CARE ELDERLY,197607986,AMERICARE SENIOR LIVING OF SOUTH TORRANCE,"AMERICARE SENIOR LIVING, LLC.",LEIA DIMALANTA JOAQUIN,(310) 422-5634,4706 AVENUE B,TORRANCE,CA,90505,LOS ANGELES,11,6,LICENSED,6/21/2010,
RESIDENTIAL CARE ELDERLY,306004780,AMERIDGE RESIDENTIAL CARE,"AMERIDGE RESIDENTIAL CARE, INC.",ANGELO BUENAVENTURA,(714) 932-9276,620 E. FERN DRIVE,FULLERTON,CA,92831,ORANGE,22,6,LICENSED,1/15/2016,
RESIDENTIAL CARE ELDERLY,306005287,AMERIHEART CARE HOME,AMERIHEART LLC,"YCASAS, TIMOTHY",(714) 733-8095,9622 KATELLA AVENUE,ANAHEIM,CA,92804,ORANGE,22,6,LICENSED,6/29/2017,
RESIDENTIAL CARE ELDERLY,306005381,AMERIHEART CARE HOME 2,AMERIHEART LLC,"YCASAS, TIMOTHY",(714) 733-8095,9632 KATELLA AVE,ANAHEIM,CA,92804,ORANGE,22,15,CLOSED,1/23/2018,1/7/2020
RESIDENTIAL CARE ELDERLY,197607894,"AMES JPL BOARD AND CARE HOME, INC.","AMES JPL BOARD AND CARE HOME, INC.",LOURDES NICHOLS,(818) 886-7574,10036 COZYCOFT AVENUE,CHATSWORTH,CA,91311,LOS ANGELES,31,5,CLOSED,6/30/2010,6/24/2015
RESIDENTIAL CARE ELDERLY,306005467,AMETHYEST CARE HOME OF FULLERTON,MELPROTERE INC,"MISA C. TERESA, MARIA",(714) 519-3094,513 N CORNELL AVE,FULLERTON,CA,92831,ORANGE,22,6,CLOSED,,7/25/2018
RESIDENTIAL CARE ELDERLY,306004495,AMETHYST CARE HOME I,"MELPROTERE, INC.",MARIA TERESA C. MISA,(714) 886-2147,6710 SEQUOIA DRIVE,BUENA PARK,CA,90620,ORANGE,22,6,CLOSED,1/31/2013,4/17/2015
RESIDENTIAL CARE ELDERLY,306004307,AMETHYST CARE HOME II,"MELPROTERE, INC.",TERESA C. MISA,(714) 312-0570,18501 WOODWIND LANE,ANAHEIM HILLS,CA,92807,ORANGE,22,6,CLOSED,4/4/2011,5/17/2019
RESIDENTIAL CARE ELDERLY,306004290,AMETHYST CARE HOME III,"MELPROTERE, INC.",TERESA MISA,(714) 283-2861,2710 BERKELEY STREET,ORANGE,CA,92865,ORANGE,22,6,CLOSED,12/15/2010,12/5/2017
RESIDENTIAL CARE ELDERLY,306005594,AMETHYST CARE HOME OF FULLERTON,"MELPROTERE, INC.","MISA, MARIA THERESA C",(657) 217-5093,513 N CORNELL AVE,FULLERTON,CA,92831,ORANGE,22,6,LICENSED,10/21/2019,
RESIDENTIAL CARE ELDERLY,306004359,AMETHYST CARE HOME @ BERKELEY,"MELOPROTERE, INC.",TERESA MISA,(714) 685-0680,2702 N. BERKELEY STREET,ORANGE,CA,92865,ORANGE,22,6,CLOSED,1/19/2012,10/9/2017
RESIDENTIAL CARE ELDERLY,306005369,AMETHYST CARE HOME @ VIRGINIA,MELPROTERE INC,"MISA, MARIA TERESA, C",(657) 208-3095,2720 EAST VIRGINIA,ANAHEIM,CA,92806,ORANGE,22,6,LICENSED,10/12/2017,
RESIDENTIAL CARE ELDERLY,361800212,AMETHYST COTTAGE,HAPPY SENIORS HOME LLC,"LEYVA, RAY JOANNE C",(760) 241-9075,15617 RED OAK WAY,VICTORVILLE,CA,92394,SAN BERNARDINO,18,3,LICENSED,10/4/2017,
RESIDENTIAL CARE ELDERLY,306003722,AMETHYST HOME # 2,"PANGAN, ERLINDA",ERLINDA PANGAN,(714) 504-0375,10542 SHERRILL STREET,ANAHEIM,CA,92804,ORANGE,22,6,LICENSED,7/26/2007,
RESIDENTIAL CARE ELDERLY,198602889,AMITIE HOME,AMITIE HOME INC,"DE LEON, WILHELM",(310) 291-8271,3840 W 181ST STREET,TORRANCE,CA,90504,LOS ANGELES,11,6,LICENSED,5/30/2018,
RESIDENTIAL CARE ELDERLY,306005426,AMITY ASSISTED LIVING,STEPHANIE J. PEREZ,"PEREZ, STEPHANIE J.",(949) 380-0043,23391 CAVANAUGH ROAD,LAKE FOREST,CA,92630,ORANGE,22,6,LICENSED,5/15/2018,
RESIDENTIAL CARE ELDERLY,347001361,AMITY HOME CARE,"MANGEAC, PETRE",PETRE MANGEAC,(916) 331-1136,4822 IMAGE WAY,SACRAMENTO,CA,95842,SACRAMENTO,27,6,LICENSED,6/9/2000,
RESIDENTIAL CARE ELDERLY,565801905,AMITY & JOY HOME CARE,"GAGARIN, LLC",TERESA SACOLLES,(805) 246-5831,4810 JUSTIN WAY,OXNARD,CA,93033,VENTURA,31,6,LICENSED,2/28/2014,
RESIDENTIAL CARE ELDERLY,455001011,AMJ KIMBER KARE II,"GIRI, MATTHEW","GIRI, MATTHEW",(530) 222-4184,2165 KIMBER COURT,REDDING,CA,96002,SHASTA,25,6,LICENSED,4/5/2001,
RESIDENTIAL CARE ELDERLY,197607779,AMOR CARE VILLA,"AMOR CARE VILLA, INC.",BELLA CANCINO,(626) 338-8100,4635 MERCED AVENUE,BALDWIN PARK,CA,91706,LOS ANGELES,28,6,CLOSED,9/30/2009,5/19/2015
RESIDENTIAL CARE ELDERLY,430706162,AMOR RESIDENTIAL CARE HOME,AMOR T. ADOR-DIONISIO,"VALIN, AMOR & VIRGIL",(408) 971-4244,32 NORTH 21ST STREET,SAN JOSE,CA,95116,SANTA CLARA,26,24,LICENSED,8/5/1992,
RESIDENTIAL CARE ELDERLY,198320063,AMOR VIDA CARE,"AMOR VIDA CARE, INC","MCNAMARA, MINDY",(310) 530-7104,2049 W 235TH STREET,TORRANCE,CA,90501,LOS ANGELES,11,6,PENDING,,
RESIDENTIAL CARE ELDERLY,415600783,AMORE,KRYSELLA TRISMEO CORPORATION,"MIRANDA-SUNGA, SHERYLL V.",(650) 755-0411,130 VALE STREET,DALY CITY,CA,94014,SAN MATEO,14,53,LICENSED,1/7/2010,
RESIDENTIAL CARE ELDERLY,405802292,AMORECARE ASSISTING LIVING FOR ELDERLY,AMORECARE ASSISTING LIVING FOR ELDERLY LLC,"O' DONNAL, GRICELDA",(805) 458-5443,960 VISTA VERDE LANE,NIPOMO,CA,93444,SAN LUIS OBISPO,29,6,CLOSED,3/30/2018,3/7/2019
RESIDENTIAL CARE ELDERLY,342700208,AMORUSO CARE HOME,TITIANA CHIRA,"CHIRA, TITIANA",(916) 475-7261,8967 AMORUSO AVENUE,FAIR OAKS,CA,95628,SACRAMENTO,27,6,LICENSED,11/13/2017,
RESIDENTIAL CARE ELDERLY,197608141,AMOS HOME CARE,"AMOS ANGEL, INC.",DANIEL AMOS,(562) 788-7822,5602 WHITEWOOD AVENUE,LAKEWOOD,CA,90712,LOS ANGELES,28,6,CLOSED,7/7/2011,9/18/2017
RESIDENTIAL CARE ELDERLY,197608834,AMP HOME CARE,MARIETTA M.PASCUA & ANTONIO G.PASCUA,MARIETTA M. PASCUA,(661) 476-4684,26629 OAK TERRACE PLACE,VALENCIA,CA,91381,LOS ANGELES,31,3,CLOSED,5/11/2015,2/1/2018
RESIDENTIAL CARE ELDERLY,374603732,AMPARO SENIOR CARE LLC,AMPARO SENIOR CARE LLC,"CAPATI, ANNA",(760) 529-4483,1029 BOULDER PLACE,OCEANSIDE,CA,92057,SAN DIEGO,8,6,LICENSED,7/11/2017,
RESIDENTIAL CARE ELDERLY,197608580,AMPERE MANOR,"AMPERE MANOR, INC.",ANNA BOGDANYAN,(818) 765-7091,7701 AMPERE AVENUE,NORTH HOLLYWOOD,CA,91605,LOS ANGELES,31,6,CLOSED,4/2/2015,4/6/2017
RESIDENTIAL CARE ELDERLY,336427425,AMRO ELDERLY CARE HOME,AMRO ELDERLY CARE HOME LLC,"GRAVILONI, DANIELA",(951) 785-1869,10213 CALIFORNIA AVE,RIVERSIDE,CA,92503,RIVERSIDE,18,6,LICENSED,5/16/2017,
RESIDENTIAL CARE ELDERLY,336425858,AMRON HOMES AT SPINNAKER,"AMRON RADIANT HOMES,LLC",ELENA ESTRELLA,(951) 487-9162,128 SPINNAKER STREET,SAN JACINTO,CA,92583,RIVERSIDE,18,6,CLOSED,1/14/2014,4/24/2015
RESIDENTIAL CARE ELDERLY,435202643,"AMY'S RESIDENTIAL CARE, INC.",AMY'S RESIDENTIAL CARE INC,"SINGH, JAGTAR",(408) 898-8784,671 N WHITE RD,SAN JOSE,CA,95127,SANTA CLARA,26,6,LICENSED,1/7/2019,
RESIDENTIAL CARE ELDERLY,435202540,AMY'S SENIOR CARE INC,AMY'S SENIOR CARE INC,"MANN, AMARJEET",(408) 926-7308,701 N WHITE ROAD,SAN JOSE,CA,95127,SANTA CLARA,26,6,LICENSED,12/15/2016,
RESIDENTIAL CARE ELDERLY,336413071,AM/PM ASSURED CARE,"AM/PM ASSURED CARE, INC.",PEARL AGUINALDO,(760) 321-5085,2 DICKENS CT.,RANCHO MIRAGE,CA,92270,RIVERSIDE,18,6,LICENSED,8/31/2007,
RESIDENTIAL CARE ELDERLY,565801584,AN EVERLASTING SPRING - SENIOR CARE,"SKY RIVER VIEW, INC.",MARICON CONNIE LAUS,(805) 300-8707,1075 GREENFIELD STREET,THOUSAND OAKS,CA,91360,VENTURA,31,6,LICENSED,8/27/2008,
RESIDENTIAL CARE ELDERLY,565801586,AN EVERLASTING SPRING - SENIOR CARE,"SKY RIVER VIEW, INC.","DVORA DEBBIE"" LEVENTER""",(805) 300-8707,415 EAST SIDLEE STREET,THOUSAND OAKS,CA,91360,VENTURA,31,6,LICENSED,8/18/2008,
RESIDENTIAL CARE ELDERLY,565801585,AN EVERLASTING SPRING - SENIOR CARE,"SKY RIVER VIEW, INC.",MARICON CONNIE LAUS,(805) 300-8707,171 WEST SIDLEE STREET,THOUSAND OAKS,CA,91360,VENTURA,31,6,LICENSED,8/27/2008,
RESIDENTIAL CARE ELDERLY,565801587,AN EVERLASTING SPRING - SENIOR CARE,"SKY RIVER VIEW, INC.","DVORA DEBBIE"" LEVENTER""",(805) 300-8707,189 VENUS STREET,THOUSAND OAKS,CA,91360,VENTURA,31,6,LICENSED,8/18/2008,
RESIDENTIAL CARE ELDERLY,366426358,AN IDEAL HOME CARE,ROSALYN PAGAUISAN,"PAGAUISAN, ROSALYN",(909) 792-6549,1572 NELSON ST.,REDLANDS,CA,92374,SAN BERNARDINO,18,6,LICENSED,10/7/2014,
RESIDENTIAL CARE ELDERLY,75601437,AN OAK GROVE MANOR,"BAENS SENIOR CARE, LLC","VELARDE-BAENS, SHIRLEY A.",(925) 759-9168,2801 OAK GROVE ROAD,WALNUT CREEK,CA,94598,CONTRA COSTA,15,6,LICENSED,7/18/2008,
